channel_id,total_subs,subscriber_count_hidden,retrieved_at
UCK_aHj_Ooyg7sGV4GYQsz0g,52000,False,2026-06-22T08:33:59.215353+00:00
UCWp8Zl7kiqL7rQ23CoRbcag,52800,False,2026-06-22T08:33:59.215357+00:00
UCVC4gwk42731pbweE6abiPw,326000,False,2026-06-22T08:33:59.215361+00:00
UCVHFnMzUnQdqfw3LwnDXd9A,212000,False,2026-06-22T08:33:59.215365+00:00
UCY1eaC-ewZUgf40g1eY_L_g,81100,False,2026-06-22T08:33:59.215369+00:00
UCPzSiosPjlAmQuO5VjYQFzg,251000,False,2026-06-22T08:33:59.215373+00:00
UCLrqoy6FiCWAoMbKAPdSn0g,112000,False,2026-06-22T08:33:59.215377+00:00
UCkkxn2ldlFUMupTlXU8meAw,3200000,False,2026-06-22T08:33:59.215381+00:00
UCECfnRv8lSbn90zCAJWC7cg,1440000,False,2026-06-22T08:33:59.215385+00:00
UCujNsU8AMfDqa5LNjvAdzow,659000,False,2026-06-22T08:33:59.215389+00:00
UCq3Ct-r3-XbGxDiG7BGu2dQ,1050000,False,2026-06-22T08:33:59.215393+00:00
UCufmwDQEiqU5LCyeocpGSXw,62800,False,2026-06-22T08:33:59.215397+00:00
UCnOfrPIX6rMKTrYk4FG2r4A,189000,False,2026-06-22T08:33:59.215401+00:00
UCg9AKxJ-4pP8gmUdQ01rc4Q,288000,False,2026-06-22T08:33:59.215404+00:00
UC6I4vtYv0c4KkGbzZHZxBsg,452000,False,2026-06-22T08:33:59.215409+00:00
UCYtv1My064sodwuWBDhbQfQ,623000,False,2026-06-22T08:33:59.215413+00:00
UCdHQwB2hfRpZksvcY-BZWNQ,172000,False,2026-06-22T08:33:59.215417+00:00
UCcdd3kS52T9Zyo-SWfj86bA,580000,False,2026-06-22T08:33:59.215420+00:00
UClWdrIa7OsxFTROZ3e9FeEg,335000,False,2026-06-22T08:33:59.215424+00:00
